PERSON 0 ==> 9, 3 => 10, 3 2_3
PERSON 0 ==> 10, 3 => 11, 3 2_3
PERSON 1 ==> 8, 7 => 8, 8 3_3
PERSON 1 ==> 8, 8 => 8, 9 3_3
PERSON 2 ==> 5, 12 => 4, 12 1_3
PERSON 2 ==> 4, 12 => 3, 12 1_3
PERSON 3 ==> 6, 10 => 7, 10 2_3
PERSON 4 ==> 6, 5 => 6, 6 3_3
PERSON 4 ==> 6, 6 => 6, 7 3_3
PERSON 5 ==> 7, 4 => 7, 5 3_3
PERSON 4 ==> 6, 7 => 6, 8 3_3
PERSON 5 ==> 7, 5 => 6, 5 1_3
PERSON 6 ==> 2, 7 => 2, 6 0_3
PERSON 4 ==> 6, 8 => 6, 9 3_3
PERSON 5 ==> 6, 5 => 6, 6 3_3
PERSON 7 ==> 1, 1 => 0, 1 1_3
PERSON 5 ==> 6, 6 => 6, 7 3_3
PERSON 7 ==> 0, 1 => 0, 2 3_3
PERSON 8 ==> 1, 4 => 1, 3 0_3
PERSON 9 ==> 8, 13 => 7, 13 1_3
PERSON 10 ==> 8, 2 => 8, 1 0_3
PERSON 10 ==> 8, 1 => 9, 1 2_3
PERSON 11 ==> 7, 11 => 6, 11 1_3
PERSON 10 ==> 9, 1 => 10, 1 2_3
PERSON 11 ==> 6, 11 => 5, 11 1_3
PERSON 12 ==> 9, 7 => 8, 7 1_3
PERSON 10 ==> 10, 1 => 11, 1 2_3
PERSON 12 ==> 8, 7 => 8, 8 3_3
PERSON 13 ==> 4, 4 => 4, 3 0_3
PERSON 10 ==> 11, 1 => 12, 1 2_3
PERSON 13 ==> 4, 3 => 3, 3 1_3
PERSON 14 ==> 3, 8 => 3, 9 3_3
PERSON 10 ==> 12, 1 => 13, 1 2_3
PERSON 13 ==> 3, 3 => 2, 3 1_3
PERSON 15 ==> 1, 5 => 1, 4 0_3
PERSON 15 ==> 1, 4 => 0, 4 1_3
PERSON 16 ==> 11, 10 => 11, 9 0_3
PERSON 16 ==> 11, 9 => 10, 9 1_3
PERSON 17 ==> 3, 5 => 3, 4 0_3
PERSON 16 ==> 10, 9 => 9, 9 1_3
PERSON 17 ==> 3, 4 => 3, 3 0_3
PERSON 18 ==> 9, 13 => 10, 13 2_3
PERSON 17 ==> 3, 3 => 3, 2 0_3
PERSON 19 ==> 9, 4 => 10, 4 2_3
PERSON 17 ==> 3, 2 => 2, 2 1_3
PERSON 19 ==> 10, 4 => 11, 4 2_3
PERSON 20 ==> 9, 5 => 9, 4 0_3
PERSON 17 ==> 2, 2 => 1, 2 1_3
PERSON 19 ==> 11, 4 => 12, 4 2_3
PERSON 20 ==> 9, 4 => 9, 3 0_3
PERSON 21 ==> 8, 4 => 8, 3 0_3
PERSON 20 ==> 9, 3 => 10, 3 2_3
PERSON 21 ==> 8, 3 => 8, 2 0_3
PERSON 22 ==> 12, 8 => 12, 7 0_3
PERSON 21 ==> 8, 2 => 8, 1 0_3
PERSON 22 ==> 12, 7 => 12, 6 0_3
PERSON 23 ==> 9, 6 => 8, 6 1_3
PERSON 21 ==> 8, 1 => 8, 0 0_3
PERSON 22 ==> 12, 6 => 12, 5 0_3
PERSON 23 ==> 8, 6 => 7, 6 1_3
PERSON 24 ==> 13, 10 => 13, 9 0_3
PERSON 21 ==> 8, 0 => 7, 0 1_3
PERSON 22 ==> 12, 5 => 13, 5 2_3
PERSON 23 ==> 7, 6 => 6, 6 1_3
PERSON 24 ==> 13, 9 => 12, 9 1_3
PERSON 25 ==> 2, 9 => 3, 9 2_3
PERSON 21 ==> 7, 0 => 6, 0 1_3
PERSON 23 ==> 6, 6 => 6, 5 0_3
PERSON 25 ==> 3, 9 => 3, 10 3_3
PERSON 26 ==> 1, 9 => 2, 9 2_3
